time,latitude,longitude,depth,mag,magType,id,place
2025-02-26T21:12:42.412Z,13.5821,-90.6745,60.308,4.2,mb,us6000pvpg,"39 km S of Iztapa, Guatemala"
2025-02-26T20:55:37.225Z,26.3886,92.2421,10,5.3,mb,us6000pvpc,"17 km SSE of Khārupatia, India"
2025-02-26T18:14:54.263Z,45.8243,143.6114,321.466,4.1,mb,us6000pvnv,"110 km SE of Korsakov, Russia"
2025-02-26T18:11:21.791Z,38.6227,15.5041,187.197,4.5,mb,us6000pvns,"30 km W of San Nicolò, Italy"
2025-02-26T18:07:43.176Z,55.5563,164.5538,10,4.6,mb,us6000pvnr,"149 km ESE of Ust’-Kamchatsk Staryy, Russia"
2025-02-26T17:41:41.784Z,4.8038,127.4029,103.436,4.4,mb,us6000pvnl,"219 km SE of Pondaguitan, Philippines"
2025-02-26T17:35:00.471Z,1.3294,126.3199,47.588,5,mb,us6000pvnk,"132 km WNW of Ternate, Indonesia"
2025-02-26T17:18:32.650Z,19.3986,-68.107,75,3.65,md,pr2025057000,"95 km NNE of Punta Cana, Dominican Republic"
2025-02-26T16:22:48.070Z,19.248,-68.26233333,10.36,3.39,md,pr71473723,"75 km NNE of Punta Cana, Dominican Republic"
2025-02-26T16:15:30.183Z,55.4764,164.6101,10,5.8,mww,us6000pvm4,"157 km ESE of Ust’-Kamchatsk Staryy, Russia"
2025-02-26T14:33:31.072Z,0.3486,125.0153,41.92,4.7,mb,us6000pvlm,"65 km E of Modisi, Indonesia"
2025-02-26T13:48:20.859Z,53.0811,-169.4655,94.6,3.6,ml,ak0252mhnr2c,"43 km WNW of Nikolski, Alaska"
2025-02-26T13:29:41.310Z,36.08283333,-120.177,12.01,3.16,ml,nc75139451,"10 km NNW of Avenal, CA"
2025-02-26T13:15:04.173Z,0.3245,124.9166,10,5.1,mb,us6000pvla,"55 km ESE of Modisi, Indonesia"
2025-02-26T11:48:50.528Z,0.3788,124.9613,10,4.9,mb,us6000pvkw,"58 km E of Modisi, Indonesia"
2025-02-26T11:22:04.954Z,32.3006,49.7858,10,4.8,mb,us6000pvkv,"60 km NE of Masjed Soleymān, Iran"
2025-02-26T10:44:25.968Z,-23.5371,-67.9557,134.641,4.3,mb,us6000pvkm,"73 km SSE of San Pedro de Atacama, Chile"
2025-02-26T10:17:30.664Z,0.3133,124.9433,9.655,4.8,mb,us6000pvkk,"58 km ESE of Modisi, Indonesia"
2025-02-26T10:12:57.851Z,-24.0117,-66.8293,232.208,4.3,mb,us6000pvkj,"56 km WNW of San Antonio de los Cobres, Argentina"
2025-02-26T10:01:54.663Z,-20.4559,-67.3222,258.906,4.1,mb,us6000pvkg,"44 km WSW of Colchani, Bolivia"
2025-02-26T09:04:26.690Z,0.3752,124.9881,10,4.9,mb,us6000pvka,"61 km E of Modisi, Indonesia"
2025-02-26T08:56:51.504Z,0.3481,124.9584,10,5,mb,us6000pvk7,"59 km E of Modisi, Indonesia"
2025-02-26T07:56:00.419Z,0.3864,124.9175,11.557,4.9,mb,us6000pvju,"54 km E of Modisi, Indonesia"
2025-02-26T06:34:10.169Z,62.1611,171.0916,10,4.7,mb,us6000pvje,"Chukotskiy Avtonomnyy Okrug, Russia"
2025-02-26T05:53:24.989Z,33.596,136.3684,394.464,5.8,mww,us6000pvj5,"38 km ESE of Shingū, Japan"
2025-02-26T05:46:24.040Z,36.68366667,-121.3133333,5.19,3.32,mw,nc75139226,"12 km S of Tres Pinos, CA"
2025-02-26T04:43:51.170Z,-20.2477,-177.6846,545.851,4.3,mb,us6000pviv,"268 km WNW of Houma, Tonga"
2025-02-26T04:31:27.506Z,53.1175,-165.6891,35,3.2,ml,us6000pvis,"101 km SSE of Unalaska, Alaska"
